"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","1","Feature Checking the weather","","","","","Checking Call back functionfully",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","1","Feature Checking the weather","","","","","Checking Units of measurement - For temperature in Kelvin use units=standard",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","1","Feature Checking the weather","","","","","Checking the weather by city",""
"broken","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","0","Feature Checking the weather","","","","","Checking cities within a rectangle zone",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","0","Feature Checking the weather","","","","","Checking weather by not found zip code",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","0","Feature Checking the weather","","","","","Checking weather by zip code",""
"broken","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","0","Feature Checking the weather","","","","","Checking cities in circle",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","0","Feature Checking the weather","","","","","Checking multilingual support",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","1","Feature Checking the weather","","","","","Checking weather by longitude and latitude",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","0","Feature Checking the weather","","","","","Checking Units of measurement - For temperature in Celsius use units=metric",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","0","Feature Checking the weather","","","","","Checking the weather by id",""
"passed","Mon Apr 10 14:05:58 UTC 2023","Mon Apr 10 14:05:58 UTC 2023","0","Feature Checking the weather","","","","","Checking Units of measurement - For temperature in Fahrenheit use units=imperial",""
